date,confirmed
2021.10.24,9.0
2021.10.25,15.0
2021.10.26,22.0
2021.10.27,32.0
2021.10.28,49.0
2021.10.29,57.0
2021.10.30,65.0
2021.10.31,78.0
2021.11.01,94.0
2021.11.02,112.0
2021.11.03,144.0
2021.11.04,164.0
2021.11.05,182.0
2021.11.06,201.0
2021.11.07,213.0
2021.11.08,232.0
2021.11.09,232.0
2021.11.10,232.0
2021.11.11,232.0
2021.11.12,232.0
2021.11.13,232.0
2021.11.14,232.0
2021.11.15,242.0
2021.11.16,261.0
2021.11.17,300.0
2021.11.18,342.0
2021.11.19,374.0
2021.11.20,405.0
2021.11.21,433.0
2021.11.22,470.0
