,createDt,deathCnt,defCnt,gubun,gubunCn,gubunEn,incDec,isolClearCnt,localOccCnt,overFlowCnt,qurRate,seq,stdDay,updateDt
47,2021-12-03 09:10:27.045,1231,138011,경기,京畿,Gyeonggi-do,1465,119243,1464,1,1028,13680,2021년 12월 03일 00시,null
48,2021-12-03 09:10:27.044,2,1595,세종,世宗,Sejong,7,1458,7,0,448,13679,2021년 12월 03일 00시,null
49,2021-12-03 09:10:27.044,57,5695,울산,蔚山,Ulsan,20,5532,19,1,501,13678,2021년 12월 03일 00시,null
50,2021-12-03 09:10:27.044,71,8906,대전,大田,Daejeon,97,8083,97,0,608,13677,2021년 12월 03일 00시,null
51,2021-12-03 09:10:27.044,30,6398,광주,光州,Gwangju,45,5934,45,0,441,13676,2021년 12월 03일 00시,null
52,2021-12-03 09:10:27.044,155,25606,인천,仁川,Incheon,307,22103,306,1,870,13675,2021년 12월 03일 00시,null
53,2021-12-03 09:10:27.043,318,19213,대구,大邱,Daegu,99,18017,99,0,794,13674,2021년 12월 03일 00시,null
54,2021-12-03 09:10:27.043,183,16696,부산,釜山,Busan,141,15106,141,0,492,13673,2021년 12월 03일 00시,null
55,2021-12-03 09:10:27.043,1148,160873,서울,首尔,Seoul,2099,135086,2094,5,1664,13672,2021년 12월 03일 00시,null
56,2021-12-03 09:10:27.043,3739,462555,합계,合计,Total,4944,403419,4923,21,892,13671,2021년 12월 03일 00시,null
57,2021-12-02 09:02:44.572,16,6474,검역,隔離區,Lazaretto,5,6294,0,5,-,13651,2021년 12월 02일 00시,null
58,2021-12-02 09:02:44.572,9,3762,제주,济州,Jeju,31,3447,31,0,558,13650,2021년 12월 02일 00시,null
59,2021-12-02 09:02:44.572,56,15236,경남,庆南,Gyeongsangnam-do,94,14215,94,0,456,13649,2021년 12월 02일 00시,null
60,2021-12-02 09:02:44.572,110,11471,경북,庆北,Gyeongsangbuk-do,106,10426,106,0,435,13648,2021년 12월 02일 00시,null
61,2021-12-02 09:02:44.571,27,4498,전남,全南,Jeollanam-do,39,4049,37,2,243,13647,2021년 12월 02일 00시,null
62,2021-12-02 09:02:44.571,76,6453,전북,全北,Jeollabuk-do,71,5879,71,0,358,13646,2021년 12월 02일 00시,null
63,2021-12-02 09:02:44.571,80,13174,충남,忠南,Chungcheongnam-do,149,11789,149,0,621,13645,2021년 12월 02일 00시,null
