date,confirmed
2021.11.07,12.0
2021.11.08,31.0
2021.11.09,31.0
2021.11.10,31.0
2021.11.11,31.0
2021.11.12,31.0
2021.11.13,31.0
2021.11.14,31.0
2021.11.15,41.0
2021.11.16,60.0
2021.11.17,99.0
2021.11.18,141.0
2021.11.19,173.0
2021.11.20,204.0
2021.11.21,232.0
2021.11.22,269.0
2021.11.23,297.0
2021.11.24,361.0
2021.11.25,399.0
2021.11.26,451.0
2021.11.27,499.0
2021.11.28,550.0
2021.11.29,603.0
2021.11.30,635.0
2021.12.01,696.0
2021.12.02,744.0
2021.12.03,812.0
2021.12.04,871.0
2021.12.05,948.0
2021.12.06,987.0
