date,confirmed
2021.11.05,18.0
2021.11.06,37.0
2021.11.07,49.0
2021.11.08,68.0
2021.11.09,68.0
2021.11.10,68.0
2021.11.11,68.0
2021.11.12,68.0
2021.11.13,68.0
2021.11.14,68.0
2021.11.15,78.0
2021.11.16,97.0
2021.11.17,136.0
2021.11.18,178.0
2021.11.19,210.0
2021.11.20,241.0
2021.11.21,269.0
2021.11.22,306.0
2021.11.23,334.0
2021.11.24,398.0
2021.11.25,436.0
2021.11.26,488.0
2021.11.27,536.0
2021.11.28,587.0
2021.11.29,640.0
2021.11.30,672.0
2021.12.01,733.0
2021.12.02,781.0
2021.12.03,849.0
2021.12.04,908.0
