date,confirmed
2021.10.25,6.0
2021.10.26,13.0
2021.10.27,23.0
2021.10.28,40.0
2021.10.29,48.0
2021.10.30,56.0
2021.10.31,69.0
2021.11.01,85.0
2021.11.02,103.0
2021.11.03,135.0
2021.11.04,155.0
2021.11.05,173.0
2021.11.06,192.0
2021.11.07,204.0
2021.11.08,223.0
2021.11.09,223.0
2021.11.10,223.0
2021.11.11,223.0
2021.11.12,223.0
2021.11.13,223.0
2021.11.14,223.0
2021.11.15,233.0
2021.11.16,252.0
2021.11.17,291.0
2021.11.18,333.0
2021.11.19,365.0
2021.11.20,396.0
2021.11.21,424.0
2021.11.22,461.0
2021.11.23,489.0
