date,confirmed
2021.10.26,7.0
2021.10.27,17.0
2021.10.28,34.0
2021.10.29,42.0
2021.10.30,50.0
2021.10.31,63.0
2021.11.01,79.0
2021.11.02,97.0
2021.11.03,129.0
2021.11.04,149.0
2021.11.05,167.0
2021.11.06,186.0
2021.11.07,198.0
2021.11.08,217.0
2021.11.09,217.0
2021.11.10,217.0
2021.11.11,217.0
2021.11.12,217.0
2021.11.13,217.0
2021.11.14,217.0
2021.11.15,227.0
2021.11.16,246.0
2021.11.17,285.0
2021.11.18,327.0
2021.11.19,359.0
2021.11.20,390.0
2021.11.21,418.0
2021.11.22,455.0
2021.11.23,483.0
2021.11.24,547.0
