date,confirmed
2021.11.08,19.0
2021.11.09,19.0
2021.11.10,19.0
2021.11.11,19.0
2021.11.12,19.0
2021.11.13,19.0
2021.11.14,19.0
2021.11.15,29.0
2021.11.16,48.0
2021.11.17,87.0
2021.11.18,129.0
2021.11.19,161.0
2021.11.20,192.0
2021.11.21,220.0
2021.11.22,257.0
2021.11.23,285.0
2021.11.24,349.0
2021.11.25,387.0
2021.11.26,439.0
2021.11.27,487.0
2021.11.28,538.0
2021.11.29,591.0
2021.11.30,623.0
2021.12.01,684.0
2021.12.02,732.0
2021.12.03,800.0
2021.12.04,859.0
2021.12.05,936.0
2021.12.06,975.0
2021.12.07,1062.0
